,m2_construit,nb_pieces,prix_achat,prix_achat_m2,travaux_necessaire,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier,type_appartement,type_duplex,type_maison,type_penthouse,nom_quartier
207,50,1,159000,3180,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
208,136,3,135990,1000,False,False,False,True,True,True,False,False,21,True,False,False,False,Barajas
209,96,2,210000,2188,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
210,71,2,198000,2789,False,False,True,False,False,True,False,False,21,True,False,False,False,Barajas
211,74,2,139900,1891,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
212,65,2,110000,1692,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
213,93,3,160000,1720,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
214,75,3,103000,1373,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
215,63,3,100000,1587,True,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
216,65,3,90000,1385,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
217,115,3,154900,1347,False,False,False,True,False,True,False,False,21,False,True,False,False,Barajas
218,63,2,82260,1306,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
219,72,3,139400,1936,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
220,100,2,154900,1549,False,False,False,False,False,True,True,True,21,True,False,False,False,Barajas
221,90,3,155000,1722,False,False,False,True,False,True,True,True,21,True,False,False,False,Barajas
222,66,3,88000,1333,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
223,102,3,225000,2206,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
224,105,2,189000,1800,False,False,False,True,False,False,False,True,21,True,False,False,False,Barajas
225,95,4,138000,1453,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
226,120,3,195000,1625,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
227,90,3,222000,2467,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
228,64,3,80500,1258,True,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
229,80,3,182000,2275,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
230,120,3,295000,2458,False,False,False,True,True,True,False,True,21,True,False,False,False,Barajas
231,82,2,270000,3293,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
232,81,3,116100,1433,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
233,103,3,250000,2427,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
234,63,3,79900,1268,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
235,70,3,99000,1414,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
236,60,3,74550,1242,True,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
237,45,2,105000,2333,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
238,95,3,130000,1368,False,False,False,True,True,False,False,False,21,True,False,False,False,Barajas
239,70,3,120000,1714,True,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
240,71,3,149000,2099,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
241,70,3,135000,1929,True,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
242,98,4,230000,2347,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
243,55,3,91000,1655,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
244,115,4,184900,1608,False,False,False,True,True,False,False,False,21,True,False,False,False,Barajas
245,78,3,127000,1628,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
246,68,3,83900,1234,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
247,120,3,180000,1500,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
248,64,3,76000,1188,True,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
249,92,4,163000,1772,False,False,False,False,False,True,False,False,21,True,False,False,False,Barajas
250,154,3,280000,1818,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
251,105,3,180000,1714,False,False,False,True,False,True,False,False,21,True,False,False,False,Barajas
252,70,2,128000,1829,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
253,93,3,166200,1787,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
254,53,3,114300,2157,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
255,86,3,129000,1500,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
256,75,3,132000,1760,False,False,False,False,False,True,False,False,21,True,False,False,False,Barajas
257,85,3,135000,1588,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
258,65,2,99000,1523,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
259,53,3,114300,2157,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
260,68,3,88000,1294,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
261,75,3,110000,1467,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
262,83,2,146000,1759,False,False,False,True,True,True,False,False,21,True,False,False,False,Barajas
263,95,3,112000,1179,True,False,False,True,False,True,False,False,21,True,False,False,False,Barajas
264,30,1,59000,1967,False,False,False,False,False,False,True,False,21,True,False,False,False,Barajas
265,53,1,146000,2755,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
266,125,3,275000,2200,False,False,True,True,False,True,True,False,21,False,False,False,True,Barajas
267,153,4,178000,1163,False,False,False,False,False,True,True,True,21,True,False,False,False,Barajas
268,86,3,129000,1500,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
269,66,2,96000,1455,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
270,63,3,82000,1302,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
